"","x"
"125","B-NP_68_aligned_1007_R_0_270_0"
"126","B-NP_301_aligned_1016_F_0_265_0"
"127","B-MP_848_aligned_1021_F_0_193_0"
"128","B-NA_364_aligned_1028_F_0_192_0"
"129","B-HA_287_aligned_1035_R_0_174_0"
"130","B-NP_1478_aligned_1042_F_0_194_0"
"131","B-PA_27_aligned_1051_F_0_286_0"
"132","B-PA_595_aligned_1060_F_0_246_0"
"133","B-MP_535_aligned_1068_R_0_113_0"
"134","B-PA_1399_aligned_1074_F_0_290_0"
"135","B-PB1_310_aligned_1085_R_0_266_0"
"136","B-NS_116_aligned_1092_F_0_317_0"
"137","B-MP_699_aligned_1100_R_0_229_0"
"138","B-MP_375_aligned_1108_R_0_246_0"
"139","B-NA_997_aligned_1116_F_0_223_0"
"140","B-PB1_117_aligned_1123_R_0_184_0"
"141","B-PA_1252_aligned_1131_F_0_305_0"
"142","B-MP_279_aligned_1140_R_0_319_0"
"143","B-NS_389_aligned_1147_F_0_221_0"
"144","B-NP_993_aligned_1153_F_0_255_0"
"145","B-NP_1365_aligned_1161_F_0_200_0"
"146","B-MP_4_aligned_1169_F_0_174_0"
"147","B-HA_952_aligned_1176_R_0_210_0"
"148","B-PB1_476_aligned_1183_R_0_166_0"
"149","B-HA_55_aligned_1190_F_0_391_0"
"150","B-PA_2056_aligned_1198_R_0_124_0"
"151","B-HA_281_aligned_1208_F_0_144_0"
"152","B-NS_115_aligned_1215_R_0_157_0"
"153","B-PB2_771_aligned_1223_F_0_244_0"
"154","B-PB1_433_aligned_1231_R_0_303_0"
"155","B-PB2_738_aligned_1240_R_0_400_0"
"156","B-PB1_1302_aligned_1249_R_0_210_0"
"157","B-NA_521_aligned_1256_R_0_118_0"
"158","B-PA_160_aligned_1264_R_0_269_0"
"159","B-NP_755_aligned_1273_F_0_254_0"
"160","B-HA_284_aligned_1281_R_0_255_0"
"161","B-PB2_1651_aligned_1288_F_0_282_0"
"162","B-NS_600_aligned_1296_R_0_361_0"
"163","B-PB1_1369_aligned_1304_R_0_306_0"
"164","B-NA_36_aligned_1312_R_0_395_0"
"165","B-MP_113_aligned_1322_F_0_384_0"
"166","B-PB2_443_aligned_1330_F_0_332_0"
"167","B-NP_446_aligned_1338_R_0_126_0"
"168","B-NP_1317_aligned_1346_R_0_205_0"
"169","B-HA_946_aligned_1354_F_0_319_0"
"170","B-NP_970_aligned_1362_F_0_343_0"
"171","B-MP_881_aligned_1370_R_0_133_0"
"172","B-HA_1286_aligned_1378_F_0_219_0"
"173","B-PA_66_aligned_1387_F_0_277_0"
"174","B-PB1_1134_aligned_1395_F_0_150_0"
"175","B-NS_526_aligned_1401_R_0_236_0"
"176","B-PB1_1010_aligned_1409_R_0_380_0"
"177","B-PA_419_aligned_1417_F_0_190_0"
"178","B-MP_10_aligned_1425_F_0_346_0"
"179","B-PA_317_aligned_1433_F_0_135_0"
"180","B-PB2_812_aligned_1442_R_0_378_0"
"181","B-PB1_55_aligned_1450_F_0_235_0"
"182","B-HA_686_aligned_1458_F_0_99_0"
"183","B-PB1_518_aligned_1466_F_0_318_0"
"184","B-NP_1196_aligned_1474_F_0_127_0"
"185","B-PB1_451_aligned_1481_R_0_185_0"
"186","B-HA_1419_aligned_1489_F_0_317_0"
"187","B-PB1_1257_aligned_1498_F_0_379_0"
"188","B-NS_358_aligned_1506_R_0_303_0"
"189","B-NP_299_aligned_1513_F_0_325_0"
"190","B-HA_861_aligned_1522_R_0_369_0"
"191","B-PB2_1192_aligned_1530_R_0_386_0"
"192","B-PB1_292_aligned_1538_R_0_172_0"
"193","B-PB2_1954_aligned_1546_R_0_185_0"
"194","B-NP_1435_aligned_1554_F_0_191_0"
"195","B-PB2_273_aligned_1563_R_0_318_0"
"196","B-NA_27_aligned_1571_F_0_160_0"
"197","B-NA_1047_aligned_1578_R_0_239_0"
"198","B-NP_997_aligned_1586_R_0_294_0"
"199","B-HA_394_aligned_1596_F_0_124_0"
"200","B-PB1_1198_aligned_1604_F_0_387_0"
"201","B-PB1_900_aligned_1612_R_0_383_0"
"202","B-HA_975_aligned_1620_F_0_138_0"
"203","B-NP_768_aligned_1628_F_0_323_0"
"204","B-PB1_1424_aligned_1636_R_0_394_0"
"205","B-HA_1547_aligned_1644_R_0_169_0"
"206","B-PB1_529_aligned_1652_R_0_323_0"
"207","B-NS_531_aligned_1660_F_0_297_0"
"208","B-HA_664_aligned_1668_F_0_331_0"
"209","B-NS_594_aligned_1677_F_0_177_0"
"210","B-PB2_438_aligned_1685_R_0_144_0"
"211","B-PB1_187_aligned_1692_F_0_279_0"
"212","B-NS_104_aligned_1699_R_0_249_0"
"213","B-MP_292_aligned_1707_F_0_293_0"
"214","B-NP_527_aligned_1714_F_0_262_0"
"215","B-PB1_1342_aligned_1722_F_0_316_0"
"216","B-PB2_470_aligned_1730_R_0_260_0"
"217","B-PB2_1437_aligned_1736_F_0_130_0"
"218","B-PB1_1471_aligned_1743_F_0_241_0"
"219","B-NP_1395_aligned_1752_F_0_264_0"
"220","B-PB1_1977_aligned_1763_F_0_222_0"
"221","B-MP_440_aligned_1770_R_0_177_0"
"222","B-NP_157_aligned_1778_R_0_150_0"
"223","B-PB2_525_aligned_1786_R_0_293_0"
"224","B-NA_1209_aligned_1794_F_0_88_0"
"225","B-PA_1156_aligned_1803_F_0_170_0"
