"","x"
"535","B-PA_1661_aligned_271_F_0_371_0"
"536","B-PB2_1854_aligned_280_F_0_371_0"
"537","B-MP_800_aligned_287_F_0_179_0"
"538","B-NP_313_aligned_294_R_0_374_0"
"539","B-NS_212_aligned_306_F_0_376_0"
"540","B-PB2_427_aligned_314_R_0_343_0"
"541","B-PA_199_aligned_324_R_0_86_0"
"542","B-NP_537_aligned_330_R_0_191_0"
"543","B-PA_769_aligned_338_R_0_133_0"
"544","B-HA_512_aligned_346_F_0_219_0"
"545","B-PA_820_aligned_352_R_0_201_0"
"546","B-PB1_419_aligned_357_F_0_303_0"
"547","B-PB1_351_aligned_369_F_0_319_0"
"548","B-PB1_160_aligned_377_F_0_143_0"
"549","B-HA_9_aligned_385_R_0_254_0"
"550","B-PB2_816_aligned_395_F_0_293_0"
"551","B-NA_331_aligned_402_F_0_171_0"
"552","B-HA_912_aligned_410_F_0_261_0"
"553","B-HA_1376_aligned_418_R_0_292_0"
"554","B-NA_793_aligned_426_F_0_214_0"
"555","B-NP_325_aligned_434_R_0_190_0"
"556","B-PB2_765_aligned_442_R_0_130_0"
"557","B-HA_341_aligned_449_R_0_330_0"
"558","B-PA_373_aligned_458_R_0_297_0"
"559","B-PB1_1156_aligned_467_R_0_317_0"
"560","B-PB1_1647_aligned_475_R_0_133_0"
"561","B-PA_986_aligned_481_F_0_158_0"
"562","B-NA_440_aligned_489_F_0_247_0"
"563","B-NA_837_aligned_497_R_0_307_0"
"564","B-PB1_1224_aligned_504_F_0_333_0"
"565","B-PB2_370_aligned_512_F_0_390_0"
"566","B-PB2_718_aligned_521_R_0_202_0"
"567","B-PB1_869_aligned_528_F_0_267_0"
"568","B-MP_526_aligned_536_F_0_265_0"
"569","B-PB2_1678_aligned_548_R_0_392_0"
"570","B-PA_491_aligned_557_R_0_341_0"
"571","B-PA_1819_aligned_565_R_0_263_0"
"572","B-MP_269_aligned_573_R_0_346_0"
"573","B-PA_198_aligned_580_R_0_257_0"
"574","B-PA_470_aligned_588_F_0_283_0"
"575","B-NP_1139_aligned_595_F_0_94_0"
"576","B-PB2_1913_aligned_603_R_0_185_0"
"577","B-NA_453_aligned_611_R_0_319_0"
"578","B-PB1_1981_aligned_617_F_0_112_0"
"579","B-PB2_1462_aligned_625_R_0_248_0"
"580","B-NA_872_aligned_635_R_0_400_0"
"581","B-PB2_1101_aligned_643_R_0_170_0"
"582","B-PB1_385_aligned_650_F_0_183_0"
"583","B-NP_234_aligned_660_R_0_209_0"
"584","B-PA_1601_aligned_668_F_0_170_0"
"585","B-HA_219_aligned_675_R_0_221_0"
"586","B-HA_499_aligned_683_F_0_360_0"
"587","B-PB2_497_aligned_694_F_0_235_0"
"588","B-PA_28_aligned_700_F_0_246_0"
"589","B-NP_1358_aligned_708_R_0_247_0"
"590","B-NP_1008_aligned_716_R_0_179_0"
"591","B-NP_806_aligned_722_F_0_382_0"
"592","B-NS_338_aligned_730_F_0_390_0"
"593","B-PA_1025_aligned_740_F_0_169_0"
"594","B-NA_34_aligned_751_F_0_212_0"
"595","B-HA_1306_aligned_759_F_0_382_0"
"596","B-NS_620_aligned_767_F_0_324_0"
"597","B-HA_924_aligned_775_F_0_365_0"
"598","B-NP_242_aligned_785_R_0_156_0"
"599","B-PB2_1148_aligned_792_F_0_169_0"
"600","B-PA_1753_aligned_801_F_0_313_0"
"601","B-PA_648_aligned_809_F_0_179_0"
"602","B-NA_664_aligned_816_F_0_245_0"
"603","B-PB1_60_aligned_824_R_0_225_0"
"604","B-PB2_913_aligned_828_R_0_126_0"
"605","B-PB1_1999_aligned_836_R_0_179_0"
"606","B-NP_82_aligned_844_F_0_93_0"
"607","B-PB1_1003_aligned_851_F_0_206_0"
"608","B-MP_549_aligned_859_R_0_398_0"
"609","B-PB1_100_aligned_867_F_0_238_0"
"610","B-NP_1363_aligned_875_F_0_129_0"
"611","B-HA_1404_aligned_886_F_0_212_0"
"612","B-HA_117_aligned_895_F_0_356_0"
"613","B-NP_185_aligned_902_F_0_278_0"
"614","B-MP_844_aligned_912_F_0_268_0"
"615","B-NP_224_aligned_920_R_0_270_0"
"616","B-PA_465_aligned_929_R_0_394_0"
"617","B-MP_403_aligned_940_R_0_242_0"
"618","B-HA_615_aligned_948_R_0_206_0"
"619","B-MP_311_aligned_959_F_0_289_0"
"620","B-NP_1385_aligned_966_F_0_220_0"
"621","B-NA_521_aligned_973_F_0_230_0"
"622","B-PB2_1327_aligned_981_F_0_274_0"
"623","B-PB1_1640_aligned_988_F_0_197_0"
"624","B-NP_580_aligned_996_R_0_133_0"
"625","B-PB1_1801_aligned_1003_R_0_230_0"
"626","B-PA_780_aligned_1011_F_0_232_0"
"627","B-PB2_234_aligned_1019_R_0_256_0"
"628","B-NP_1162_aligned_1027_F_0_385_0"
"629","B-NS_161_aligned_1036_R_0_120_0"
"630","B-PA_409_aligned_1044_F_0_339_0"
"631","B-NP_1315_aligned_1055_F_0_91_0"
"632","B-HA_732_aligned_1061_R_0_235_0"
"633","B-PB2_2032_aligned_1070_F_0_240_0"
"634","B-PA_728_aligned_1077_F_0_180_0"
"635","B-PA_383_aligned_1082_R_0_348_0"
"636","B-PB2_1428_aligned_1091_R_0_144_0"
"637","B-PA_503_aligned_1099_F_0_168_0"
"638","B-HA_1049_aligned_1106_F_0_183_0"
"639","B-NA_319_aligned_1114_R_0_140_0"
"640","B-PB2_589_aligned_1119_R_0_118_0"
"641","B-NP_794_aligned_1127_F_0_151_0"
"642","B-NP_725_aligned_1135_R_0_151_0"
"643","B-PB2_1061_aligned_1142_R_0_206_0"
"644","B-PA_656_aligned_1152_F_0_325_0"
"645","B-MP_902_aligned_1160_R_0_205_0"
"646","B-PB2_873_aligned_1168_R_0_145_0"
"647","B-PB1_461_aligned_1174_R_0_183_0"
"648","B-PB2_1792_aligned_1181_R_0_298_0"
"649","B-PB1_1432_aligned_1188_F_0_363_0"
"650","B-NP_228_aligned_1197_F_0_318_0"
"651","B-PB1_1417_aligned_1205_R_0_199_0"
"652","B-PB1_871_aligned_1213_R_0_360_0"
"653","B-PB2_1818_aligned_1224_F_0_385_0"
"654","B-PA_1886_aligned_1232_F_0_196_0"
"655","B-PB1_1485_aligned_1241_F_0_396_0"
"656","B-HA_1441_aligned_1248_R_0_294_0"
"657","B-PB2_1889_aligned_1257_R_0_230_0"
"658","B-NS_117_aligned_1266_R_0_375_0"
"659","B-NA_717_aligned_1274_R_0_305_0"
"660","B-NS_123_aligned_1282_F_0_184_0"
"661","B-PB1_1430_aligned_1290_F_0_155_0"
"662","B-PA_502_aligned_1298_F_0_360_0"
"663","B-PB2_59_aligned_1306_R_0_366_0"
"664","B-PB2_1885_aligned_1314_F_0_125_0"
"665","B-PB1_1345_aligned_1321_F_0_374_0"
"666","B-PA_487_aligned_1329_F_0_183_0"
"667","B-PB1_934_aligned_1337_R_0_331_0"
"668","B-NP_1263_aligned_1345_F_0_260_0"
"669","B-NP_670_aligned_1353_R_0_103_0"
"670","B-PB2_446_aligned_1361_F_0_134_0"
"671","B-PA_1668_aligned_1369_F_0_302_0"
"672","B-PA_771_aligned_1377_R_0_235_0"
"673","B-PB1_987_aligned_1385_R_0_249_0"
"674","B-NP_1005_aligned_1392_R_0_188_0"
"675","B-HA_582_aligned_1400_F_0_260_0"
"676","B-NA_705_aligned_1408_R_0_248_0"
"677","B-MP_748_aligned_1416_F_0_231_0"
"678","B-PB2_182_aligned_1424_F_0_220_0"
"679","B-NA_900_aligned_1432_F_0_311_0"
"680","B-NP_406_aligned_1440_R_0_261_0"
"681","B-MP_193_aligned_1448_R_0_158_0"
"682","B-PB1_964_aligned_1456_F_0_285_0"
"683","B-NP_1063_aligned_1464_R_0_342_0"
"684","B-MP_381_aligned_1472_R_0_347_0"
"685","B-PA_1283_aligned_1480_F_0_296_0"
"686","B-PA_766_aligned_1488_R_0_249_0"
"687","B-HA_545_aligned_1496_R_0_272_0"
"688","B-NS_681_aligned_1504_F_0_341_0"
"689","B-NP_1159_aligned_1511_F_0_194_0"
"690","B-PB2_1401_aligned_1519_F_0_137_0"
"691","B-PA_325_aligned_1528_F_0_294_0"
"692","B-NA_23_aligned_1536_F_0_382_0"
"693","B-HA_295_aligned_1544_R_0_310_0"
"694","B-PB1_1569_aligned_1552_R_0_302_0"
"695","B-NP_1293_aligned_1560_F_0_177_0"
"696","B-PB1_356_aligned_1568_F_0_118_0"
"697","B-NP_1152_aligned_1575_R_0_295_0"
"698","B-PB1_1534_aligned_1584_R_0_347_0"
"699","B-HA_953_aligned_1592_F_0_260_0"
"700","B-PB1_748_aligned_1600_F_0_351_0"
"701","B-HA_437_aligned_1608_R_0_353_0"
"702","B-NS_217_aligned_1617_R_0_185_0"
"703","B-NA_728_aligned_1624_R_0_242_0"
"704","B-HA_1398_aligned_1632_R_0_179_0"
"705","B-MP_772_aligned_1639_F_0_251_0"
"706","B-PA_1425_aligned_1649_R_0_374_0"
"707","B-PB1_1546_aligned_1658_F_0_112_0"
"708","B-NA_287_aligned_1666_R_0_231_0"
"709","B-NP_1088_aligned_1675_R_0_299_0"
"710","B-PA_227_aligned_1683_F_0_87_0"
"711","B-PB1_1775_aligned_1690_F_0_397_0"
"712","B-HA_1374_aligned_1698_F_0_232_0"
"713","B-PA_844_aligned_1704_R_0_210_0"
"714","B-NA_679_aligned_1711_F_0_248_0"
"715","B-NS_507_aligned_1717_R_0_216_0"
"716","B-PA_1095_aligned_1725_F_0_383_0"
"717","B-PB2_734_aligned_1735_F_0_365_0"
"718","B-PB1_81_aligned_1742_F_0_283_0"
"719","B-PB2_1701_aligned_1750_R_0_103_0"
"720","B-MP_988_aligned_1761_F_0_118_0"
"721","B-HA_463_aligned_1769_R_0_203_0"
"722","B-NP_1232_aligned_1777_F_0_340_0"
"723","B-NA_1028_aligned_1785_R_0_338_0"
"724","B-HA_923_aligned_1793_F_0_390_0"
"725","B-PA_1382_aligned_1802_F_0_127_0"
"726","B-PB2_835_aligned_1809_F_0_147_0"
"727","B-HA_689_aligned_1818_F_0_160_0"
"728","B-NA_48_aligned_1824_F_0_139_0"
"729","B-PB2_700_aligned_1833_R_0_182_0"
"730","B-PB2_911_aligned_1840_F_0_223_0"
"731","B-MP_694_aligned_1851_R_0_264_0"
"732","B-PB1_1441_aligned_1859_F_0_360_0"
"733","B-PA_670_aligned_1866_R_0_332_0"
"734","B-NS_474_aligned_1871_F_0_221_0"
"735","B-PB1_282_aligned_1883_F_0_109_0"
"736","B-PB2_1911_aligned_1889_F_0_192_0"
"737","B-NP_714_aligned_1896_F_0_244_0"
"738","B-NP_196_aligned_1904_F_0_159_0"
"739","B-PB1_463_aligned_1912_F_0_212_0"
"740","B-PB1_1493_aligned_1918_F_0_144_0"
"741","B-HA_1227_aligned_1924_R_0_341_0"
"742","B-NS_707_aligned_1932_R_0_273_0"
"743","B-NP_290_aligned_1940_R_0_259_0"
"744","B-PA_1094_aligned_1947_F_0_190_0"
"745","B-PB2_524_aligned_1955_F_0_144_0"
"746","B-PA_685_aligned_1963_R_0_390_0"
"747","B-NS_215_aligned_1973_F_0_266_0"
"748","B-PB2_1575_aligned_1980_F_0_222_0"
"749","B-MP_446_aligned_1986_F_0_255_0"
"750","B-PB1_712_aligned_1993_R_0_211_0"
"751","B-NP_449_aligned_3_R_0_235_0"
"752","B-PB1_81_aligned_11_F_0_94_0"
"753","B-NA_237_aligned_19_F_0_214_0"
"754","B-PA_560_aligned_27_F_0_197_0"
"755","B-NP_652_aligned_35_R_0_261_0"
"756","B-HA_470_aligned_43_F_0_382_0"
"757","B-PB2_113_aligned_51_R_0_192_0"
"758","B-MP_408_aligned_59_R_0_341_0"
"759","B-PA_162_aligned_67_F_0_393_0"
"760","B-PB2_1861_aligned_75_F_0_305_0"
"761","B-PB2_308_aligned_83_R_0_328_0"
"762","B-PB2_1556_aligned_91_F_0_250_0"
"763","B-HA_110_aligned_99_F_0_278_0"
"764","B-NP_260_aligned_107_R_0_194_0"
"765","B-PB2_1724_aligned_115_F_0_358_0"
"766","B-NP_95_aligned_123_R_0_217_0"
"767","B-PA_1608_aligned_131_F_0_175_0"
"768","B-NA_858_aligned_139_R_0_193_0"
"769","B-NA_93_aligned_147_F_0_180_0"
"770","B-PB2_185_aligned_155_R_0_317_0"
"771","B-NP_518_aligned_163_F_0_275_0"
"772","B-PB1_525_aligned_170_F_0_211_0"
"773","B-NP_633_aligned_180_F_0_330_0"
"774","B-PA_1909_aligned_188_R_0_171_0"
"775","B-PA_632_aligned_196_R_0_332_0"
"776","B-PB1_1741_aligned_204_F_0_298_0"
"777","B-HA_314_aligned_215_R_0_254_0"
"778","B-NP_1389_aligned_222_F_0_103_0"
"779","B-PB2_1309_aligned_229_F_0_106_0"
"780","B-MP_923_aligned_236_F_0_159_0"
"781","B-NA_426_aligned_244_R_0_214_0"
"782","B-HA_417_aligned_252_R_0_163_0"
"783","B-PB2_607_aligned_263_F_0_270_0"
"784","B-NA_449_aligned_272_R_0_215_0"
"785","B-PB2_22_aligned_279_F_0_172_0"
"786","B-PB1_1809_aligned_291_R_0_173_0"
"787","B-PA_1597_aligned_299_F_0_345_0"
"788","B-HA_750_aligned_305_F_0_221_0"
"789","B-PB1_124_aligned_313_F_0_245_0"
"790","B-NS_515_aligned_320_R_0_229_0"
"791","B-PB1_1926_aligned_334_R_0_199_0"
"792","B-PB2_1197_aligned_340_R_0_377_0"
"793","B-PA_1548_aligned_353_F_0_291_0"
"794","B-NP_889_aligned_360_R_0_193_0"
"795","B-PB1_599_aligned_367_R_0_236_0"
"796","B-PB2_1362_aligned_374_R_0_330_0"
"797","B-NS_346_aligned_381_F_0_152_0"
"798","B-PB1_619_aligned_389_F_0_147_0"
"799","B-HA_1310_aligned_398_R_0_278_0"
"800","B-HA_1282_aligned_409_R_0_361_0"
"801","B-PA_563_aligned_416_R_0_296_0"
"802","B-MP_439_aligned_424_F_0_391_0"
"803","B-NA_314_aligned_432_F_0_282_0"
"804","B-PB1_594_aligned_439_R_0_347_0"
"805","B-PB1_1399_aligned_450_R_0_386_0"
"806","B-PB1_213_aligned_457_F_0_368_0"
"807","B-NP_759_aligned_465_F_0_343_0"
"808","B-PA_1622_aligned_473_F_0_160_0"
"809","B-PB1_723_aligned_480_R_0_239_0"
"810","B-PA_867_aligned_488_F_0_215_0"
"811","B-PB1_1045_aligned_496_F_0_145_0"
"812","B-PB1_1929_aligned_505_R_0_328_0"
"813","B-PB1_1462_aligned_514_F_0_277_0"
"814","B-PB1_674_aligned_520_F_0_346_0"
"815","B-PB1_477_aligned_527_F_0_298_0"
"816","B-NA_422_aligned_535_R_0_378_0"
"817","B-PB1_882_aligned_547_F_0_379_0"
"818","B-PB2_273_aligned_555_R_0_135_0"
"819","B-PB2_1366_aligned_562_R_0_167_0"
"820","B-NP_675_aligned_569_F_0_364_0"
"821","B-PB1_1088_aligned_577_R_0_365_0"
"822","B-MP_557_aligned_584_R_0_178_0"
"823","B-PB1_524_aligned_592_F_0_283_0"
"824","B-HA_556_aligned_599_R_0_402_0"
"825","B-PA_1705_aligned_607_R_0_182_0"
"826","B-HA_253_aligned_616_F_0_275_0"
"827","B-NS_438_aligned_624_F_0_207_0"
"828","B-PB1_1996_aligned_632_R_0_210_0"
"829","B-NP_919_aligned_641_R_0_290_0"
"830","B-HA_608_aligned_648_F_0_277_0"
"831","B-NP_709_aligned_656_F_0_169_0"
"832","B-PB2_507_aligned_664_R_0_357_0"
"833","B-PB1_292_aligned_672_F_0_171_0"
"834","B-NP_121_aligned_681_R_0_310_0"
"835","B-PA_887_aligned_690_R_0_356_0"
"836","B-MP_324_aligned_698_F_0_379_0"
"837","B-NP_756_aligned_706_F_0_338_0"
"838","B-PB1_1480_aligned_712_R_0_218_0"
"839","B-PB2_131_aligned_720_R_0_318_0"
"840","B-HA_92_aligned_729_R_0_152_0"
"841","B-PA_1666_aligned_737_F_0_392_0"
"842","B-PA_1255_aligned_745_F_0_354_0"
"843","B-PB2_1039_aligned_752_R_0_202_0"
"844","B-HA_1309_aligned_760_F_0_401_0"
"845","B-PB1_1433_aligned_771_R_0_139_0"
"846","B-PA_1595_aligned_778_F_0_296_0"
"847","B-PA_193_aligned_786_F_0_222_0"
"848","B-PA_1816_aligned_794_F_0_262_0"
"849","B-NS_94_aligned_800_F_0_289_0"
"850","B-PB2_1685_aligned_808_F_0_151_0"
"851","B-NA_981_aligned_813_R_0_343_0"
"852","B-PB1_1877_aligned_821_F_0_126_0"
"853","B-PA_573_aligned_832_F_0_138_0"
"854","B-NA_385_aligned_841_F_0_200_0"
"855","B-HA_220_aligned_854_R_0_180_0"
"856","B-HA_1404_aligned_862_F_0_345_0"
"857","B-MP_828_aligned_870_R_0_211_0"
"858","B-PB1_1879_aligned_878_R_0_245_0"
"859","B-PB1_1827_aligned_885_R_0_398_0"
"860","B-MP_432_aligned_893_F_0_248_0"
"861","B-PB2_1864_aligned_897_F_0_106_0"
"862","B-PB2_1461_aligned_906_F_0_237_0"
"863","B-NA_954_aligned_914_F_0_298_0"
"864","B-PA_1060_aligned_921_R_0_109_0"
"865","B-PB1_1262_aligned_928_F_0_152_0"
"866","B-NP_389_aligned_935_R_0_353_0"
"867","B-NP_506_aligned_943_F_0_231_0"
"868","B-PB1_1505_aligned_950_F_0_209_0"
"869","B-PB1_1133_aligned_957_R_0_199_0"
"870","B-NS_564_aligned_964_R_0_208_0"
"871","B-PA_291_aligned_974_R_0_361_0"
"872","B-PB1_747_aligned_986_F_0_358_0"
"873","B-HA_1006_aligned_994_F_0_306_0"
"874","B-NP_1315_aligned_1002_R_0_204_0"
"875","B-PB2_69_aligned_1010_R_0_350_0"
"876","B-NA_1137_aligned_1018_F_0_180_0"
"877","B-PA_791_aligned_1025_F_0_326_0"
"878","B-PA_1617_aligned_1032_R_0_255_0"
"879","B-PA_1692_aligned_1040_R_0_236_0"
"880","B-HA_883_aligned_1048_F_0_269_0"
"881","B-PA_1042_aligned_1056_F_0_307_0"
"882","B-PB1_555_aligned_1064_R_0_149_0"
"883","B-PA_671_aligned_1071_R_0_149_0"
"884","B-PA_1126_aligned_1079_F_0_398_0"
"885","B-PB1_99_aligned_1088_R_0_333_0"
"886","B-PB1_1752_aligned_1096_R_0_165_0"
"887","B-NP_35_aligned_1107_F_0_325_0"
"888","B-PB1_1274_aligned_1115_R_0_381_0"
"889","B-PB2_952_aligned_1121_R_0_294_0"
"890","B-NA_673_aligned_1129_R_0_188_0"
"891","B-PB1_745_aligned_1137_F_0_150_0"
"892","B-NA_50_aligned_1145_F_0_232_0"
"893","B-PB2_1372_aligned_1159_F_0_390_0"
"894","B-HA_772_aligned_1167_F_0_259_0"
"895","B-PB2_670_aligned_1177_F_0_278_0"
"896","B-NP_999_aligned_1184_R_0_373_0"
"897","B-HA_5_aligned_1192_F_0_319_0"
"898","B-NA_646_aligned_1199_F_0_379_0"
"899","B-NA_1009_aligned_1206_R_0_243_0"
"900","B-MP_278_aligned_1214_R_0_234_0"
"901","B-MP_123_aligned_1221_R_0_155_0"
"902","B-PB1_1206_aligned_1229_F_0_149_0"
"903","B-PA_498_aligned_1238_R_0_303_0"
"904","B-HA_802_aligned_1246_R_0_177_0"
"905","B-PB2_1292_aligned_1254_R_0_401_0"
"906","B-PA_1202_aligned_1262_F_0_191_0"
"907","B-PB2_1976_aligned_1270_F_0_113_0"
"908","B-PA_700_aligned_1279_R_0_356_0"
"909","B-PB1_143_aligned_1287_F_0_215_0"
"910","B-NP_10_aligned_1295_F_0_224_0"
"911","B-HA_1064_aligned_1303_R_0_408_0"
"912","B-NS_382_aligned_1310_F_0_319_0"
"913","B-PB2_292_aligned_1318_R_0_375_0"
"914","B-PB2_38_aligned_1325_R_0_229_0"
"915","B-PB1_493_aligned_1333_R_0_157_0"
"916","B-HA_210_aligned_1341_F_0_130_0"
"917","B-NS_340_aligned_1349_R_0_168_0"
"918","B-NP_106_aligned_1357_F_0_293_0"
"919","B-HA_688_aligned_1365_R_0_254_0"
"920","B-PB2_1394_aligned_1373_R_0_333_0"
"921","B-HA_700_aligned_1381_F_0_205_0"
"922","B-PA_907_aligned_1389_F_0_133_0"
"923","B-PB2_64_aligned_1397_R_0_251_0"
"924","B-NA_121_aligned_1405_F_0_331_0"
"925","B-PB2_149_aligned_1413_R_0_223_0"
"926","B-NA_723_aligned_1421_R_0_375_0"
"927","B-HA_266_aligned_1429_F_0_213_0"
"928","B-PB2_1962_aligned_1437_F_0_164_0"
"929","B-PB2_848_aligned_1445_F_0_150_0"
"930","B-PB1_1453_aligned_1453_R_0_179_0"
"931","B-PB2_787_aligned_1461_F_0_395_0"
"932","B-PB1_1470_aligned_1470_R_0_210_0"
"933","B-HA_757_aligned_1477_R_0_239_0"
"934","B-PA_1669_aligned_1485_F_0_134_0"
"935","B-PA_214_aligned_1493_F_0_388_0"
"936","B-NA_612_aligned_1501_F_0_290_0"
"937","B-NP_654_aligned_1509_F_0_181_0"
"938","B-NP_1392_aligned_1517_R_0_280_0"
"939","B-PB2_1185_aligned_1525_R_0_141_0"
"940","B-PB1_144_aligned_1533_R_0_395_0"
"941","B-PB2_1727_aligned_1541_R_0_277_0"
"942","B-NP_775_aligned_1549_F_0_215_0"
"943","B-NP_868_aligned_1557_F_0_143_0"
"944","B-NA_119_aligned_1565_F_0_210_0"
"945","B-NP_7_aligned_1572_F_0_229_0"
"946","B-PA_1471_aligned_1580_F_0_353_0"
"947","B-NA_211_aligned_1588_R_0_352_0"
"948","B-MP_700_aligned_1595_F_0_150_0"
"949","B-NP_107_aligned_1602_R_0_176_0"
"950","B-PB1_228_aligned_1610_F_0_370_0"
"951","B-MP_270_aligned_1618_F_0_224_0"
"952","B-PB2_338_aligned_1626_F_0_225_0"
"953","B-PA_1961_aligned_1634_R_0_197_0"
"954","B-NA_888_aligned_1641_F_0_220_0"
"955","B-NP_1061_aligned_1648_R_0_249_0"
"956","B-MP_425_aligned_1656_F_0_165_0"
"957","B-PA_1149_aligned_1664_R_0_153_0"
"958","B-HA_239_aligned_1672_R_0_206_0"
"959","B-PA_172_aligned_1682_R_0_376_0"
"960","B-HA_1062_aligned_1691_R_0_251_0"
"961","B-MP_707_aligned_1701_R_0_153_0"
"962","B-PB1_590_aligned_1709_R_0_318_0"
"963","B-HA_848_aligned_1716_R_0_348_0"
"964","B-NP_347_aligned_1723_R_0_346_0"
"965","B-PB1_1324_aligned_1731_R_0_161_0"
"966","B-MP_305_aligned_1740_R_0_322_0"
"967","B-PA_1990_aligned_1749_R_0_175_0"
"968","B-PB1_1000_aligned_1755_R_0_208_0"
"969","B-NA_431_aligned_1762_F_0_162_0"
"970","B-PA_762_aligned_1768_R_0_121_0"
"971","B-MP_302_aligned_1776_R_0_379_0"
"972","B-NP_626_aligned_1781_F_0_305_0"
"973","B-MP_248_aligned_1788_R_0_317_0"
"974","B-HA_678_aligned_1796_F_0_388_0"
"975","B-PB1_1745_aligned_1805_F_0_158_0"
"976","B-HA_1265_aligned_1813_R_0_273_0"
"977","B-PB1_9_aligned_1821_F_0_152_0"
"978","B-PA_333_aligned_1826_R_0_121_0"
"979","B-NP_780_aligned_1832_R_0_235_0"
"980","B-NP_896_aligned_1841_F_0_121_0"
"981","B-NP_796_aligned_1849_R_0_300_0"
"982","B-PB1_2053_aligned_1857_R_0_168_0"
"983","B-PB1_1089_aligned_1863_F_0_342_0"
"984","B-PB2_175_aligned_1867_R_0_272_0"
"985","B-PA_922_aligned_1881_F_0_280_0"
"986","B-PB1_458_aligned_1888_R_0_181_0"
"987","B-NS_312_aligned_1894_R_0_139_0"
"988","B-MP_86_aligned_1902_R_0_244_0"
"989","B-PA_448_aligned_1909_F_0_160_0"
"990","B-NP_1363_aligned_1916_R_0_154_0"
"991","B-MP_385_aligned_1925_F_0_298_0"
"992","B-PA_1368_aligned_1936_F_0_204_0"
"993","B-PB2_1343_aligned_1944_F_0_254_0"
"994","B-PB2_723_aligned_1949_F_0_258_0"
"995","B-NA_1167_aligned_1957_F_0_172_0"
"996","B-PB1_9_aligned_1965_F_0_239_0"
"997","B-PB1_1381_aligned_1972_F_0_159_0"
"998","B-PB2_614_aligned_1983_R_0_378_0"
"999","B-PB1_986_aligned_1990_R_0_297_0"
"1000","B-HA_1214_aligned_1995_F_0_233_0"
"1001","B-NP_939_aligned_4_F_0_388_0"
"1002","B-NA_192_aligned_12_F_0_233_0"
"1003","B-NP_906_aligned_20_R_0_385_0"
"1004","B-NS_235_aligned_28_F_0_97_0"
"1005","B-HA_516_aligned_36_F_0_179_0"
"1006","B-MP_203_aligned_44_F_0_337_0"
"1007","B-PB2_1603_aligned_52_F_0_255_0"
"1008","B-PA_895_aligned_60_R_0_328_0"
"1009","B-PB1_105_aligned_68_F_0_306_0"
"1010","B-NS_524_aligned_76_R_0_363_0"
"1011","B-HA_1026_aligned_84_F_0_145_0"
"1012","B-PB2_1423_aligned_92_R_0_173_0"
"1013","B-PA_325_aligned_100_R_0_102_0"
"1014","B-MP_607_aligned_108_R_0_251_0"
"1015","B-PB1_1364_aligned_116_R_0_226_0"
"1016","B-NS_639_aligned_124_F_0_223_0"
"1017","B-PA_939_aligned_132_F_0_315_0"
"1018","B-NP_687_aligned_140_R_0_252_0"
"1019","B-NA_823_aligned_148_F_0_389_0"
"1020","B-NS_45_aligned_156_F_0_387_0"
"1021","B-PA_1497_aligned_167_R_0_360_0"
"1022","B-NA_104_aligned_176_R_0_190_0"
"1023","B-NA_998_aligned_183_F_0_231_0"
"1024","B-NP_1257_aligned_190_R_0_352_0"
"1025","B-NA_596_aligned_197_F_0_146_0"
"1026","B-PB2_1058_aligned_203_F_0_182_0"
"1027","B-NA_708_aligned_211_F_0_260_0"
"1028","B-NP_786_aligned_219_R_0_250_0"
"1029","B-HA_626_aligned_228_R_0_333_0"
"1030","B-PA_917_aligned_237_R_0_273_0"
"1031","B-MP_324_aligned_249_F_0_252_0"
"1032","B-HA_886_aligned_257_F_0_106_0"
"1033","B-NP_1222_aligned_264_F_0_204_0"
"1034","B-PB1_1640_aligned_270_R_0_206_0"
"1035","B-MP_387_aligned_278_R_0_293_0"
"1036","B-HA_1135_aligned_286_F_0_229_0"
"1037","B-PB2_1476_aligned_292_R_0_161_0"
"1038","B-HA_1452_aligned_300_F_0_222_0"
"1039","B-HA_776_aligned_308_R_0_205_0"
"1040","B-PB1_1979_aligned_316_R_0_224_0"
"1041","B-NP_581_aligned_322_F_0_391_0"
"1042","B-PB1_1603_aligned_329_F_0_195_0"
"1043","B-MP_108_aligned_337_R_0_205_0"
"1044","B-PA_109_aligned_345_F_0_377_0"
"1045","B-PB2_273_aligned_350_R_0_216_0"
"1046","B-PA_623_aligned_359_F_0_278_0"
"1047","B-PB2_123_aligned_368_F_0_379_0"
"1048","B-HA_316_aligned_375_F_0_322_0"
"1049","B-NA_316_aligned_382_R_0_108_0"
"1050","B-MP_698_aligned_390_R_0_299_0"
"1051","B-PA_830_aligned_397_R_0_194_0"
"1052","B-MP_190_aligned_405_R_0_119_0"
"1053","B-NS_699_aligned_411_R_0_181_0"
"1054","B-PA_1829_aligned_420_F_0_293_0"
"1055","B-PA_773_aligned_429_F_0_335_0"
"1056","B-MP_352_aligned_436_R_0_237_0"
"1057","B-NP_203_aligned_443_F_0_251_0"
"1058","B-PB1_1415_aligned_451_F_0_210_0"
"1059","B-PA_1972_aligned_459_R_0_202_0"
"1060","B-PB1_449_aligned_466_R_0_318_0"
"1061","B-PB2_184_aligned_474_R_0_282_0"
"1062","B-HA_1105_aligned_483_R_0_364_0"
"1063","B-HA_947_aligned_492_R_0_268_0"
"1064","B-PB1_1727_aligned_501_F_0_191_0"
"1065","B-NP_1212_aligned_508_R_0_342_0"
"1066","B-NP_1069_aligned_515_R_0_166_0"
